Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Houshold_Transport,Household_Vehicle_Purchases,Household_Operation_Personal,Household_Transport_Services,Rail_Invest_USD
LTU,Lithuania,2020,20381.8557827478,29.3,44.6324656659214,62620.0,14.082177996754,24.828206384405,69.63031521364,5.5414784019549,186180000.0
LTU,Lithuania,2021,23849.6156993566,29.3,44.7346909439387,62610.0,15.246251508012,24.854446223458,68.47972127535,6.6658325011925,116630000.0
LUX,Luxembourg,2006,90788.8004876145,106.3,183.586849281014,2574.46,17.576289558068,36.246615301061,59.980769172699,3.7726155262401,111156808.76
LUX,Luxembourg,2007,107475.320297978,106.3,186.444147510546,2574.46,17.167399441009,35.457796637268,60.392371066779,4.149832295953,148177509.78
LUX,Luxembourg,2008,120422.137934157,106.3,189.806794434561,2574.46,16.809920042475,30.212245682738,65.44674630844,4.3410080088215,160225198.32000002
LUX,Luxembourg,2009,109419.746953106,106.3,193.354334501216,2574.46,15.374100048699,33.717051739144,61.359095701728,4.9238974454732,184412468.07000002
LUX,Luxembourg,2010,110885.991378721,106.3,196.916246513832,2574.46,15.407044778273,30.492972521197,64.60729825455,4.8996864949261,167495488.8
LUX,Luxembourg,2011,119025.057203467,106.3,201.342029008025,2574.46,16.653206930543,26.363599842581,69.107322600156,4.529114754635,160958263.88
LUX,Luxembourg,2012,112584.676270958,106.3,206.235870823396,2574.46,16.700742798452,25.460206598538,70.118028434526,4.4217649669356,133678769.03
LUX,Luxembourg,2013,120000.140729859,106.3,211.05785290896,2574.46,15.599603043273,23.142152541277,71.633022270439,5.2247878173864,156100960.36
LUX,Luxembourg,2014,123678.702143275,106.3,216.091529874226,2574.46,15.179239760283,23.685617759378,70.954821637314,5.3595239012789,204908618.74
LUX,Luxembourg,2015,105462.012584423,106.3,221.251835336342,2574.46,14.187338396285,26.136161939269,67.819584323562,6.0442148983413,297182804.73
LUX,Luxembourg,2016,106899.293549552,106.3,226.072263698018,2574.46,14.152408106755,30.707182415459,63.193658534579,6.0991590499616,339383267.68
LUX,Luxembourg,2017,110193.213797228,104.8,231.635372078028,2574.46,14.137396931621,29.212626784116,64.984890877767,5.8024465726488,310298848.68
LUX,Luxembourg,2018,116786.511654677,104.8,236.146609386046,2574.46,15.231603300967,29.435820273632,65.022451770533,5.5417279558346,282392197.94
LUX,Luxembourg,2019,112726.439672814,101.7,240.827591028798,2574.46,14.999264726067,27.628459715859,65.41387183145,5.8733596872044,251931092.33
LUX,Luxembourg,2020,116905.370396853,101.7,244.874264894386,2574.46,13.155595190741,32.546912344134,63.820032764832,3.6330548910346,284383450.82
LVA,Latvia,2005,7594.90238431362,35.1,35.9779356228004,62227.0,12.262985252305,22.697116936079,54.941602711125,22.361178553286,37450000.0
LVA,Latvia,2006,9723.44690174779,35.1,35.6494287045816,62227.0,12.608297852017,27.876058544226,52.298655380549,19.825361382951,31030000.0
LVA,Latvia,2007,14113.5291277327,35.1,35.3596509553731,62227.0,12.887524598892,27.963189249239,54.967130305262,17.069739505233,38520000.0
